Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Mathematics (BSc),85,7000,21434,"ENG4U, MHF4U, MCV4U ",Yes,N/A,No
Medieval and Medievalism Studies,85,7000,21434,"ENG4U, MHF4U,MCV4U, One of SBI4U/SCH4U/SPH4U",Yes,N/A,No
Music,82,7000,21434,ENG4U,Yes,N/A,No
North American Studies,82,7000,21434,ENG4U,No,N/A,Yes
Philosophy,82,7000,21434,ENG4U,Yes,N/A,No
Physics,82,7000,21434,ENG4U,Yes,N/A,No
Policing,85,7000,21434,"ENG4U, MHF4U, one of MCV4U/SCH4U/SPH4U",Yes,N/A,No
Political Science,82,7000,21434,ENG4U,No,N/A,No
Psychology (BA) (Brantford) ,82,7000,21434,ENG4U,Yes,N/A,No
Psychology (BA) (Waterloo),85,7000,21434,"ENG4U, One math",No,N/A,No
Psychology (BSc) (Waterloo),85,7000,21434,"ENG4U, One math",Yes,N/A,No
Psychology and Neuroscience,85,7000,21434,"ENG4U, MHF4U, SBI4U",Yes,N/A,No
Public Health,85,7000,21434,"ENG4U, MHF4U, SBI4U ",No,N/A,No
Religion and Culture,85,7000,21434,"ENG4U, MHF4U, SBI4U, SCH4U ",No,N/A,No
Social Work,82,7000,21434,ENG4U,Yes,N/A,No
Sociology,82,7000,21434,ENG4U,No,N/A,No
Spanish,82,7000,21434,ENG4U,Yes,N/A,No
User Experience Design,82,7000,21434,ENG4U,Yes,N/A,No
Women and Gender Studies,85,7000,21434,ENG4U,Yes,N/A,No
Youth and Children,82,7000,21434,ENG4U,Yes,N/A,No
,82,7000,21434,ENG4U,No,N/A,No
